"name" "prob_forest" "prob_jungle" "prob_oilpalm" "prob_rubber"
"250" "Calamus sp. 29" 0 0.103254743121599 0 0
"251" "Calamus sp. 30" 0.256983505803552 0 0 0
"252" "Calamus sp. 31" 0.388734180881433 0 0 0
"253" "Calamus sp. 33" 0.475716354349398 0 0 0
"254" "Calamus sp. 34" 0.379641518938469 0 0 0
"255" "Calamus sp. 35" 0.218690565428306 0 0 0
"256" "Calamus sp. 40" 0.112026462686968 0 0 0
"257" "Calamus tumidus" 0.243955773130196 0 0 0
"258" "Callerya atropurpurea" 0.261683753999394 0.50724749493843 0 0.0114240161140474
"259" "Callerya vasta" 0 0.118313124108416 0 0
"260" "Callicarpa cf. candicans" 0 0 0 0.00498149729575738
"261" "Callicarpa pentandra" 0 0.043309399477835 0 0.00626342161772549
"262" "Calophyllum pulcherrimum" 0.499996903945817 0 0.0436506792853347 0.0120233596702206
"263" "Calophyllum soulattri" 0.191121564757108 0 0 0
"264" "Calophyllum sp. 01" 0.125 0 0 0
"265" "Calophyllum sp. 03" 0.234916907514451 0 0 0.0120233596702206
"266" "Calophyllum sp. 04" 0.109916907514451 0 0 0
"267" "Calophyllum sp. 05" 0 0.043309399477835 0 0
"268" "Calopogonium mucunoides" 0 0 0.176618841442742 0.103612580630199
"269" "Campnosperma auriculatum" 0 0.355000684755406 0 0
"270" "Canarium album" 0.324842778075536 0.108061889250815 0 0
"271" "Canarium caudatum" 0.124783851511386 0 0 0
"272" "Canarium cf. denticulatum" 0 0.124692860962108 0 0
"273" "Canarium cf. gracile" 0.124999999999906 0 0 0
"274" "Canarium cf. patentinervium " 0.109916907514451 0 0 0
"275" "Canarium dichotomum" 0.066633815155497 0 0 0
"276" "Canarium hirsutum" 0.1035568413887 0 0 0
"277" "Canarium littorale" 0.676185365646228 0.372676334937257 0 0
"278" "Canarium megalanthum" 0.156082974762773 0 0 0
"279" "Canarium pilosum" 0.464862342357584 0.248428534975144 0 0
"280" "Canthium horridum" 0.0662276882890578 0.117294833364165 0.0140127488539152 0
"281" "Capparis micracantha" 0.121102590391668 0 0 0.00626342161772549
"282" "Carallia brachiata" 0.377487649278122 0.241052528879172 0.0166747627231934 0
"283" "Caryota mitis" 0.203544962210368 0.30323423262501 0 0
"284" "Casearia capitellata" 0 0.15229009548255 0 0
"285" "Castanopsis acuminatissima" 0.1035568413887 0 0 0
"286" "Castanopsis argentea" 0.233355547337337 0 0 0
"287" "Castanopsis costata" 0 0.0794420498084135 0 0
"288" "Castanopsis inermis" 0.066633815155497 0.0533703346203521 0 0
"289" "Castanopsis javanica" 0.13950830454931 0 0 0
"290" "Castanopsis schefferiana" 0 0.103254743121599 0 0
"291" "Cathalsia sp. 01" 0.119076068416918 0.0716205582380079 0 0
"292" "Cayratia geniculata" 0.451277259653236 0.434460796044995 0 0
"293" "Cayratia japonica" 0.066633815155497 0 0 0
"294" "Cayratia mollissima" 0 0.355694214611145 0 0
"295" "Centotheca lappacea" 0.123714263746239 0.990936739395248 0.999999999999775 0.874999814458493
"296" "Centrosema pubescens" 0 0 0.0845702510747576 0.0178674948787495
"297" "Cephalomappa malloticarpa" 0.0487892880051072 0.043309399477835 0 0
"298" "Champereia manillana" 0.483576011140558 0.720892567905207 0.0175206124852509 0.119166360407335
"299" "Chassalia curviflora" 0.281082465112327 0.379038826708116 0.0336240022112578 0
"300" "Chassalia sp. 01" 0.0487892880051072 0 0 0
"301" "Cheilocostus globosus" 0 0.043309399477835 0 0
"302" "Cheilocostus speciosus" 0.221628464506805 0 0 0
"303" "Chilocarpus cf. suaveolens" 0.190726831810998 0 0 0
"304" "Chilocarpus costatus" 0.0966886659940674 0 0 0
"305" "Chionanthus curvicarpus" 0.0487892880051072 0.168309399477835 0 0
"306" "Chionanthus montanus" 0.495712518447697 0 0 0
"307" "Chionanthus polygamus" 0.124982035060803 0 0 0
"308" "Chionanthus sp. 02" 0.1035568413887 0 0 0
"309" "Chisocheton ceramicus" 0.112293919088029 0 0 0
"310" "Chisocheton patens" 0.178521607377087 0 0 0
"311" "Chisocheton tomentosus" 0.124674704751546 0 0 0
"312" "Chonemorpha fragrans" 0.12437519237816 0 0 0
"313" "Chonemorpha verrucosa" 0 0 0.0166747627231934 0
"314" "Christella dentata" 0 0.125 0.708258194237737 0.0542503461876432
"315" "Christensenia aesculifolia" 0.066633815155497 0 0 0
"316" "Chromolaena odorata" 0 0 0.170730730045398 0.0895650180509606
"317" "Chrysophyllum flexuosum" 0.0662276882890578 0 0 0
"318" "Cinnamomum iners" 0.152045126844288 0.0794420498084135 0 0
"319" "Cinnamomum porrectum" 0 0.043309399477835 0 0
"320" "Cissus nodosa" 0.0487892880051072 0 0 0
"321" "Citrus nobilis" 0 0 0.0140127488539152 0
"322" "Claderia viridiflora" 0.240133709273505 0 0 0
"323" "Claoxylon longifolium" 0.0487892880051072 0 0 0
"324" "Clausena excavata" 0.112293919088029 0.244866056501261 0 0
"325" "Cleistanthus megacarpus" 0.0421282193298369 0 0 0
"326" "Cleome rutidosperma" 0 0 0.124998725365082 0
"327" "Clerodendrum adenophysum " 0 0 0 0.00626342161772549
"328" "Clerodendrum deflexum" 0.233317263979223 0.527627864841224 0.0340136910628921 0.0560419277387542
"329" "Clerodendrum disparifolium" 0 0.125 0 0
"330" "Clerodendrum laevifolium" 0.623732891910677 0.249345777358934 0 0.0512428354666713
"331" "Clerodendrum sp. 04" 0 0.125 0 0
"332" "Clerodendrum sp. 09" 0.16711025439064 0 0 0
"333" "Clerodendrum sp. 10" 0 0 0 0.0463256941543082
"334" "Clerodendrum villosum" 0 0.125 0 0
"335" "Clibadium surinamense" 0 0.124999999879889 0.149141798928371 0.140724699711163
"336" "Clidemia hirta" 0.249121085458205 1 0.999998468453178 0.874511394682562
"337" "Climber 04" 0.109916907514451 0 0 0
"338" "Climber 06" 0 0.124981583306023 0 0
"339" "Climber 22" 0 0.0686853002070467 0 0
"340" "Climber 27" 0 0.118963533560376 0.0852509132090662 0.133173282570123
"341" "Climber 43" 0.1035568413887 0 0 0
"342" "Climber 45" 0.1035568413887 0 0 0
"343" "Climber 47" 0.1035568413887 0 0 0
"344" "Climber 49" 0.0662276882890578 0 0 0
"345" "Clonostylis forbesii " 0.125 0 0 0
"346" "Cnestis palala" 0.330497628856203 0 0 0
"347" "Coccinia sp. 01" 0 0 0 0.00860374105803025
"348" "Codonoboea hispida" 0.0977607419546817 0 0 0
"349" "Colysis sp. 01" 0.121102590391668 0 0 0
"350" "Combretum latifolium" 0.0487892880051072 0 0 0
"351" "Combretum nigrescens" 0.362680935751361 0.302094958977722 0 0
"352" "Combretum tetralophum" 0 0 0 0.0611375137678141
"353" "Commelina diffusa" 0 0 0.0950056394773568 0
"354" "Connarus semidecandrus" 0.1035568413887 0.17806319558246 0 0
"355" "Connarus villosus" 0.0421282193298369 0 0 0
"356" "Coptosapelta flavescens" 0.115133724039605 0 0 0.0669873985675006
"357" "Corymborkis veratrifolia" 0.0977607419546817 0 0 0
"358" "Coscinium fenestratum" 0.2285568413887 0 0 0
"359" "Crassocephalum crepidioides" 0 0 0.10464230982801 0
"360" "Cratoxylum cochinchinense" 0.239508916417766 0.124692860962108 0 0
"361" "Cratoxylum formosum" 0 0.111994699684882 0.0175206124852509 0.037755146450808
"362" "Cratoxylum sumatranum" 0 0.483452127174071 0.0763269951779872 0.160963168151747
"363" "Croton argyratus" 0.595043546072531 0.277521917035619 0 0.00498149729575738
"364" "Croton cascarilloides" 0.066633815155497 0.238587348520393 0 0
"365" "Croton caudatus" 0 0.125 0 0
"366" "Croton hirtus" 0 0 0.765255487578298 0.131175479036701
"367" "Croton oblongus" 0.191224657319125 0.125 0 0
"368" "Cryptocarya costata" 0.0487892880051072 0 0 0
"369" "Cryptocarya crassinervia" 0.3398522023162 0 0 0
"370" "Cryptocarya densiflora" 0.223105954086409 0 0 0
"371" "Cryptocarya ferrea" 0.437019223204575 0 0 0
"372" "Cryptocarya pulchrinervia" 0.446229616107486 0 0 0
"373" "Ctenolophon parvifolius" 0.0973800852194733 0 0 0
"374" "Cucurbitaceae sp. 04" 0 0.043309399477835 0 0
"375" "Cyanthillium cinereum" 0 0 0.151307845093153 0.00860374105803025
"376" "Cyathocalyx sumatranus" 0.121102590391668 0 0 0
"377" "Cyclea laxiflora" 0 0 0 0.0120233596702206
"378" "Cyclosorus heterocarpus" 0 0.224642055229931 0 0
"379" "Cyclosorus megaphyllus" 0.232749117334054 0 0 0
"380" "Cynanchum sp. 01" 0 0.247805447692453 0.02430026138093 0.00584835532915648
"381" "Cynanchum sp. 02" 0 0.0996420552299313 0 0.125
"382" "Cyperus diffusus" 0 0 0.0999037489651295 0
"383" "Cyperus haspan" 0 0 0.104010870005576 0.0166172565000894
"384" "Cyrtandra cf. reticosa" 0.066633815155497 0 0 0
"385" "Cyrtandra pendula" 0.123714263746239 0 0 0
"386" "Cyrtococcum oxyphyllum" 0 0.124999999999534 0.266239599221116 0.29160641591955
"387" "Cyrtococcum patens" 0 0.49125078342857 0.825110149802995 0.629660608909647
"388" "Dacryodes costata" 0.214855286079944 0 0 0
"389" "Dacryodes laxa" 0.282843598818451 0 0 0
"390" "Dacryodes rostrata" 0.32321119409261 0.193685300087828 0 0
"391" "Dacryodes rugosa" 0.590674573546256 0.0794420498084135 0 0
"392" "Daemonorops hirsuta" 0.369561042686904 0 0 0
