"variable" "F" "J" "O" "R" "group"
"223" "Caesalpinia sumatrana" 0 0.125 0.125 0.125 "core"
"224" "Calamus aff. C. axillaris" 0 0.125 0 0 "core"
"225" "Calamus aff. C. concinnus" 0.125 0 0 0 "core"
"226" "Calamus aff. C. rugosus" 0.25 0.25 0 0 "core"
"227" "Calamus aff. C. sarawakensis" 0 0.125 0 0 "core"
"228" "Calamus arborescens" 0.125 0 0 0 "core"
"229" "Calamus cf. conirostris" 0.125 0 0 0 "core"
"230" "Calamus exilis" 0.125 0 0 0 "core"
"231" "Calamus javensis" 0 0.125 0 0 "core"
"232" "Calamus laxissimus" 0.125 0 0 0 "core"
"233" "Calamus luridus" 0.125 0 0 0 "core"
"234" "Calamus ornatus" 0.25 0.125 0 0 "core"
"235" "Calamus oxleyanus" 0 0.25 0 0 "core"
"236" "Calamus rugosus" 0.125 0 0 0 "core"
"237" "Calamus sp. 01" 0.25 0 0 0 "core"
"238" "Calamus sp. 03" 0.125 0 0 0 "core"
"239" "Calamus sp. 08" 0 0.125 0 0 "core"
"240" "Calamus sp. 10" 0.125 0.125 0 0 "core"
"241" "Calamus sp. 12" 0.25 0 0 0 "core"
"242" "Calamus sp. 13" 0.125 0 0 0 "core"
"243" "Calamus sp. 14" 0.125 0 0 0 "core"
"244" "Calamus sp. 15" 0.125 0 0 0 "core"
"245" "Calamus sp. 18" 0.125 0.125 0 0 "core"
"246" "Calamus sp. 21" 0.125 0 0 0 "core"
"247" "Calamus sp. 22" 0.125 0 0 0 "core"
"248" "Calamus sp. 27" 0 0.125 0 0 "core"
"249" "Calamus sp. 28" 0 0.125 0 0 "core"
"250" "Calamus sp. 29" 0 0.125 0 0 "core"
"251" "Calamus sp. 30" 0.375 0 0 0 "core"
"252" "Calamus sp. 31" 0.5 0 0 0 "core"
"253" "Calamus sp. 33" 0.5 0 0 0 "core"
"254" "Calamus sp. 34" 0.5 0 0 0 "core"
"255" "Calamus sp. 35" 0.25 0 0 0 "core"
"256" "Calamus sp. 40" 0.125 0 0 0 "core"
"257" "Calamus tumidus" 0.25 0 0 0 "core"
"258" "Callerya atropurpurea" 0.375 0.625 0 0.125 "core"
"259" "Callerya vasta" 0 0.125 0 0 "core"
"260" "Callicarpa cf. candicans" 0 0 0 0.125 "core"
"261" "Callicarpa pentandra" 0 0.125 0 0.125 "core"
"262" "Calophyllum pulcherrimum" 0.5 0 0.125 0.125 "core"
"263" "Calophyllum soulattri" 0.25 0 0 0 "core"
"264" "Calophyllum sp. 01" 0.125 0 0 0 "core"
"265" "Calophyllum sp. 03" 0.25 0 0 0.125 "core"
"266" "Calophyllum sp. 04" 0.125 0 0 0 "core"
"267" "Calophyllum sp. 05" 0 0.125 0 0 "core"
"268" "Calopogonium mucunoides" 0 0 0.375 0.25 "core"
"269" "Campnosperma auriculatum" 0 0.5 0 0 "core"
"270" "Canarium album" 0.375 0.125 0 0 "core"
"271" "Canarium caudatum" 0.125 0 0 0 "core"
"272" "Canarium cf. denticulatum" 0 0.125 0 0 "core"
"273" "Canarium cf. gracile" 0.125 0 0 0 "core"
"274" "Canarium cf. patentinervium " 0.125 0 0 0 "core"
"275" "Canarium dichotomum" 0.125 0 0 0 "core"
"276" "Canarium hirsutum" 0.125 0 0 0 "core"
"277" "Canarium littorale" 0.875 0.375 0 0 "core"
"278" "Canarium megalanthum" 0.25 0 0 0 "core"
"279" "Canarium pilosum" 0.5 0.25 0 0 "core"
"280" "Canthium horridum" 0.125 0.125 0.125 0 "core"
"281" "Capparis micracantha" 0.125 0 0 0.125 "core"
"282" "Carallia brachiata" 0.5 0.375 0.125 0 "core"
"283" "Caryota mitis" 0.25 0.375 0 0 "core"
"284" "Casearia capitellata" 0 0.25 0 0 "core"
"285" "Castanopsis acuminatissima" 0.125 0 0 0 "core"
"286" "Castanopsis argentea" 0.375 0 0 0 "core"
"287" "Castanopsis costata" 0 0.125 0 0 "core"
"288" "Castanopsis inermis" 0.125 0.125 0 0 "core"
