"variable" "F" "J" "O" "R" "group"
"903" "Ocotea beulahiae" 0.125 0 0 0 "core"
"904" "Oldenlandiacorymbosa" 0 0 0.125 0 "core"
"905" "Oleaceae sp. 06" 0.125 0.125 0 0 "core"
"906" "Oncosperma horridum" 0.125 0 0 0 "core"
"907" "Ophioglossum pendulum" 0 0 0.125 0 "core"
"908" "Ophioglossum reticulatum" 0 0 0.125 0 "core"
"909" "Ophiorrhiza cf. avenis" 0.125 0 0 0 "core"
"910" "Ophiorrhiza sp. 01" 0.125 0 0 0 "core"
"911" "Orania sylvicola" 0.125 0 0 0 "core"
"912" "Orchidantha cf. siamensis" 0.125 0 0 0 "core"
"913" "Orchidee sp. 02" 0.125 0 0 0 "core"
"914" "Orchidee sp. 03" 0.125 0 0 0 "core"
"915" "Ormosia sumatrana" 0 0.25 0 0 "core"
"916" "Orophea corymbosa" 0.125 0 0 0 "core"
"917" "Orophea cumingiana" 0.375 0 0 0 "core"
"918" "Oropheahexandra" 0.125 0 0 0 "core"
"919" "Orophea sp. 01" 0 0.125 0 0 "core"
"920" "Orophea sp. 05" 0.125 0 0 0 "core"
"921" "Otophora amoena" 0.25 0 0 0 "core"
"922" "Ottochloa nodosa" 0 0.625 0.75 0.875 "core"
"923" "Oxalis barrelieri" 0 0.125 0.75 0.375 "core"
"924" "Oxyceros longiflorus" 0 0.125 0 0 "core"
"925" "Oxyceros patulus" 0 0.125 0 0 "core"
"926" "Palaquium gutta" 0.5 0.5 0 0 "core"
"927" "Palaquium hexandrum" 0.25 0 0 0 "core"
"928" "Palaquium obovatum" 0.75 0 0 0 "core"
"929" "Palaquium ridleyi" 0.25 0 0 0 "core"
"930" "Palaquium sumatranum" 0.375 0 0 0 "core"
"931" "Pandanus sp. 06" 0 0.125 0 0 "core"
"932" "Pandanus sp. 09" 0.125 0 0 0 "core"
"933" "Pandanus sp. 13" 0.125 0 0 0 "core"
"934" "Pandanus sp. 14" 0.375 0 0 0 "core"
"935" "Pandanus sp. 15" 0.125 0 0 0 "core"
"936" "Pandanus sp. 16" 0.125 0 0 0 "core"
"937" "Panicum laxum" 0.125 1 0.375 0.125 "general"
"938" "Panicum sp. 01" 0 0.125 0 0 "core"
"939" "Paraderris elliptica" 0 0.125 0 0 "core"
"940" "Parameria polyneura" 0.125 0 0 0 "core"
"941" "Paramignya cf. scandens" 0 0.125 0 0 "core"
"942" "Paramignya mindanaensis" 0.125 0 0 0 "core"
"943" "Paranephelium cf. xestophyllum" 0 0.25 0 0 "core"
"944" "Parartocarpus venenosa" 0.25 0 0 0 "core"
"945" "Parashorea lucida" 0.375 0 0 0 "core"
"946" "Parastemon urophyllus" 0.125 0 0 0 "core"
"947" "Parinari sumatrana" 0.25 0 0 0 "core"
"948" "Parishia insignis" 0.125 0.125 0 0 "core"
"949" "Parkia speciosa" 0.25 0.375 0 0.125 "core"
"950" "Parkia timoriana" 0 0.125 0 0 "core"
"951" "Paropsia varecifomis" 0.25 0.375 0 0.25 "core"
"952" "Parsonsia cf. alboflavescens" 0 0 0 0.125 "core"
"953" "Paspalum conjugatum" 0 0.25 0.375 0.375 "core"
"954" "Paspalum dilatatum" 0 0.125 0.375 0.5 "core"
"955" "Payena acuminata" 0.125 0 0 0 "core"
"956" "Payena leerii" 0.375 0 0 0 "core"
"957" "Pellacalyx axillaris" 0 0 0.125 0 "core"
"958" "Pellacalyx lobbii" 0.5 0.625 0.125 0 "core"
"959" "Peltophorum pterocarpum" 0 0.25 0 0 "core"
"960" "Pentace borneensis" 0.125 0 0 0.125 "core"
"961" "Pentace triptera" 0.125 0 0 0 "core"
"962" "Pericampylus glaucus" 0 0.375 0 0 "core"
"963" "Pericopsis mooniana" 0.375 0.125 0 0 "core"
"964" "Peronema canescens" 0 0.125 0 0 "core"
"965" "Persea rimosa" 0 0.125 0 0 "core"
"966" "Pertusadina eurhyncha" 0.25 0.25 0 0 "core"
"967" "Petrea sp. 01" 0.125 0.125 0 0 "core"
"968" "Phaeanthus splendens" 0.25 0.25 0 0 "core"
"969" "Phoebe elliptica" 0.25 0.25 0.125 0 "core"
"970" "Phoebe grandis" 0.625 0.125 0 0 "core"
"971" "Phoebe sp. 02" 0.125 0 0 0 "core"
"972" "Phrynium pubinerve" 0.125 0 0 0 "core"
"973" "Phyllanthaceae sp. 14" 0.125 0 0 0 "core"
"974" "Phyllanthaceae sp. 15" 0.125 0 0 0 "core"
"975" "Phyllanthaceae sp. 35" 0.125 0 0 0 "core"
"976" "Phyllanthus oxyphyllus" 0.375 0.625 0.25 0.125 "general"
"977" "Phyllanthus urinaria" 0 0 1 0.5 "core"
"978" "Phytocrene macrophylla" 0 0.25 0 0 "core"
"979" "Pimelodendron amboinicum" 0.125 0 0 0 "core"
"980" "Pimelodendron griffithianum" 0.5 0 0 0 "core"
"981" "Pimelodendron zoanthogyne" 0.25 0 0 0 "core"
"982" "Pinanga cf. grandis" 0.125 0 0 0 "core"
"983" "Pinanga limosa" 0.5 0 0 0 "core"
"984" "Pinanga malaiana" 0.125 0 0 0 "core"
"985" "Piper baccatum" 0.25 0.25 0 0 "core"
"986" "Piper caninum" 0.25 0.125 0 0 "core"
"987" "Piper cf. bantamense" 0.125 0 0 0 "core"
"988" "Piper coactile" 0 0.25 0 0 "core"
"989" "Piper malamiri" 0.125 0 0 0 "core"
"990" "Piper sp. 12" 0 0.125 0 0 "core"
"991" "Piper sp. 13" 0.125 0 0 0 "core"
"992" "Piper ungaramense" 0.375 0 0 0 "core"
"993" "Piper venosum" 0.25 0 0 0 "core"
"994" "Piriqueta racemosa" 0 0 0.125 0 "core"
"995" "Planchonella duclitan" 0.375 0.375 0 0 "core"
"996" "Planchonella maingayi" 0 0.125 0 0 "core"
"997" "Planchonella obovata" 0 0.125 0 0 "core"
"998" "Planchonella sp. 01" 0 0.125 0 0 "core"
"999" "Planchonia valida" 0 0 0 0.125 "core"
"1000" "Platycerium coronarium" 0 0.125 0 0 "core"
"1001" "Plectronia sp. 01" 0 0.125 0 0 "core"
"1002" "Plectronia sp. 02" 0.125 0 0 0 "core"
"1003" "Plocoglottis javanica" 0.125 0 0 0 "core"
"1004" "Poaceae sp. 27" 0 0.125 0 0 "core"
"1005" "Poikilospermum suaveolens" 0.125 0 0 0 "core"
"1006" "Polyalthia cauliflora" 0 0.125 0 0 "core"
"1007" "Polyalthia lateriflora" 0.5 0 0 0 "core"
"1008" "Polyalthia microtus" 0.125 0.125 0 0 "core"
"1009" "Polyalthia obliqua" 0.25 0.25 0.125 0 "core"
"1010" "Polyalthia rumphii" 0.25 0 0 0 "core"
"1011" "Polyaltia sp. 02" 0.125 0 0 0 "core"
"1012" "Polygala paniculata" 0 0 0.5 0 "core"
"1013" "Polyosma illicifolia" 0.125 0 0 0 "core"
"1014" "Polyscias diversifolia" 0.125 0 0 0 "core"
"1015" "Polyscias elliptica" 0 0.125 0 0 "core"
"1016" "Pometia pinnata" 0.375 0.5 0 0 "core"
"1017" "Pongamia pinnata" 0.125 0 0 0 "core"
"1018" "Popowia hirta" 0.125 0 0 0 "core"
"1019" "Popowia pisocarpa" 0.625 0.25 0 0 "core"
"1020" "Porterandia anisophylla" 0.875 0.75 0.25 0.5 "general"
"1021" "Pothos wallichii" 0.25 0 0 0 "core"
"1022" "Pouteria malaccensis" 0.625 0.375 0 0.25 "core"
"1023" "Prainealimpato" 0.125 0 0 0 "core"
"1024" "Primulaceae sp. 07" 0.125 0 0 0 "core"
"1025" "Pronephrium triphyllum" 0 0 0.25 0 "core"
"1026" "Prunus arborea" 0.5 0.125 0 0 "core"
"1027" "Prunus cf. grisea" 0.25 0 0 0 "core"
"1028" "Prunus polystachya" 0.25 0.25 0 0 "core"
"1029" "Pseudoclausena chrysogyne" 0.5 0 0 0 "core"
"1030" "Pseuduvaria reticulata" 0.125 0 0 0 "core"
"1031" "Psidium guajava" 0 0 0.125 0 "core"
"1032" "Psychotria cf. maingayi" 0 0.25 0 0 "core"
"1033" "Psychotria laxiflora" 0.125 0 0 0 "core"
"1034" "Psychotria leucocarpa" 0.75 0 0 0 "core"
"1035" "Psychotria malayana" 0.125 0.125 0 0 "core"
"1036" "Psychotria penangensis" 0.125 0 0 0 "core"
"1037" "Psychotria robusta" 0 0.125 0 0 "core"
"1038" "Psychotria rostrata" 0.375 0.25 0 0 "core"
"1039" "Psychotria sp. 15" 0.125 0 0 0 "core"
"1040" "Psychotria sp. 16" 0.125 0 0 0 "core"
"1041" "Psychotria sp. 17" 0.125 0 0 0 "core"
"1042" "Psychotria viridiflora" 0.75 1 0.125 0.5 "general"
"1043" "Psychotria viridis" 0.125 0 0 0 "core"
"1044" "Pterisanthes cf. heterantha" 0.375 0.125 0 0 "core"
"1045" "Pterisanthes eriopoda" 0.25 0.125 0 0 "core"
"1046" "Pterisanthes polita" 0.125 0 0 0 "core"
"1047" "Pternandra azurea" 0 0.125 0 0.125 "core"
"1048" "Pternandra caerulescens" 0.625 0.5 0.125 0 "core"
"1049" "Pternandra sp. 07" 0.5 0 0 0 "core"
"1050" "Pterocarpus indicus" 0.125 0 0 0 "core"
"1051" "Pterocymbium tubulatum" 0.25 0.25 0 0 "core"
"1052" "Pterospermum subpeltatum" 0.125 0.125 0 0 "core"
"1053" "Ptychopyxis bacciformis" 0.125 0 0 0 "core"
"1054" "Ptychopyxis costata" 0.125 0.125 0 0 "core"
"1055" "Pycnarrhena cauliflora" 0.125 0 0 0 "core"
"1056" "Pycnarrhena tumefacta" 0 0.125 0 0 "core"
"1057" "Pycreus polystachyos" 0 0 0 0.125 "core"
"1058" "Pyrrosia piloselloides" 0 0.125 0 0.125 "core"
"1059" "Quercus argentata" 0.25 0 0 0 "core"
"1060" "Quercus lineata" 0.125 0 0 0 "core"
"1061" "Rhamnaceae sp. 01" 0.375 0 0 0 "core"
"1062" "Rhaphidophora foraminifera" 0.125 0 0 0 "core"
"1063" "Rhaphidophora sp. 01" 0 0.25 0 0 "core"
"1064" "Rhaphidophora sp. 02" 0.125 0 0 0 "core"
"1065" "Rhaphidophora sylvestris" 0.5 0 0 0 "core"
"1066" "Rhaphidophora versteegii" 0.25 0 0 0 "core"
"1067" "Rhodamnia cinerea" 0.5 0.375 0.25 0.5 "general"
"1068" "Rhynchospora colorata" 0 0 0.125 0 "core"
"1069" "Rhynchospora corymbosa" 0 0.125 0.125 0.125 "core"
"1070" "Rinorea anguifera" 0.375 0.125 0.125 0 "core"
"1071" "Rinorea cf. sclerocarpa" 0.25 0 0 0 "core"
"1072" "Rolandra fructiosa" 0 0.125 0.375 0.25 "core"
"1073" "Rothmannia macrophylla" 0.75 0.5 0.125 0 "core"
"1074" "Rourea asplenifolia" 0.5 0.125 0.125 0 "core"
"1075" "Rourea mimosoides" 0.375 0.25 0 0 "core"
"1076" "Rourea minor" 0.375 0 0 0 "core"
"1077" "Roureopsis emarginata" 0.625 0.375 0 0 "core"
"1078" "Rubiaceae sp. 100" 0.125 0 0 0 "core"
"1079" "Rubiaceae sp. 102" 0.125 0 0 0 "core"
"1080" "Rubiaceae sp. 105" 0.125 0 0 0 "core"
"1081" "Rubiaceae sp. 109" 0.125 0 0 0 "core"
"1082" "Rubiaceae sp. 112" 0.125 0 0 0 "core"
"1083" "Rubiaceae sp. 17" 0.25 0 0 0 "core"
"1084" "Rubiaceae sp. 30" 0 0 0.125 0 "core"
"1085" "Rubiaceae sp. 43" 0 0.125 0 0 "core"
"1086" "Rubiaceae sp. 60" 0.125 0 0 0 "core"
"1087" "Rubiaceae sp. 68" 0.125 0 0 0 "core"
"1088" "Rubiaceae sp. 80" 0.125 0 0 0 "core"
"1089" "Rubiaceae sp. 81" 0 0 0 0.125 "core"
"1090" "Rubiaceae sp. 88" 0 0.125 0 0 "core"
"1091" "Rubiaceae sp. 91" 0 0.125 0 0 "core"
"1092" "Rubiaceae sp. 93" 0 0 0 0.125 "core"
"1093" "Rubiaceae sp. 97" 0.125 0 0 0 "core"
"1094" "Rubiaceae sp. 99" 0.125 0 0 0 "core"
"1095" "Rutaceae sp. 11" 0.125 0 0 0 "core"
"1096" "Rutaceae sp. 19" 0.125 0 0 0 "core"
"1097" "Ryparosa acuminata" 0.125 0 0 0 "core"
"1098" "Ryparosa caesia" 0 0.125 0 0 "core"
"1099" "Ryparosa cf. hirsuta" 0.125 0 0 0 "core"
"1100" "Ryparosa cf. scortechinii" 0.125 0 0 0 "core"
"1101" "Ryparosa javanica" 0.125 0 0 0 "core"
"1102" "Salacia korthalsiana" 0.5 0.25 0 0 "core"
"1103" "Salacia miqueliana" 0.125 0 0 0 "core"
"1104" "Salomonia cantoniensis" 0 0 0.125 0 "core"
"1105" "Sandoricum koetjape" 0.375 0.125 0 0 "core"
"1106" "Santiria apiculata" 0.875 0.25 0 0 "core"
"1107" "Santiria griffithii" 0.75 0.375 0 0 "core"
"1108" "Santiria laevigata" 0.75 0.125 0 0 "core"
"1109" "Santiria oblongifolia" 0.625 0.25 0 0 "core"
"1110" "Santiria rubiginosa" 0.25 0 0 0 "core"
"1111" "Santiria tomentosa" 0.625 0.25 0 0 "core"
"1112" "Sapindaceae sp. 27" 0.125 0 0 0 "core"
"1113" "Sapindaceae sp. 31" 0.125 0 0 0 "core"
"1114" "Saprosma arboreum" 0.125 0 0 0 "core"
"1115" "Saprosma cf. scortechinii" 0 0.25 0 0 "core"
"1116" "Saprosma sp. 01" 0 0.125 0 0 "core"
"1117" "Saraca declinata" 0.125 0.25 0.125 0 "core"
"1118" "Sarcandra glabra" 0.125 0 0 0 "core"
"1119" "Sarcostigma kleinii" 0.375 0 0 0 "core"
"1120" "Sarcotheca diversifolia" 0.5 0 0 0 "core"
"1121" "Saurauia cf. javanica" 0.125 0 0 0 "core"
"1122" "Saurauia cf. tristyla" 0.125 0.125 0 0 "core"
"1123" "Scaphium affine" 0.75 0.25 0 0 "core"
"1124" "Scaphium linearicarpum" 0.375 0 0 0 "core"
"1125" "Scaphium macropodum" 0.125 0.125 0 0 "core"
"1126" "Scaphochlamys sp. 01" 0 0.125 0 0 "core"
"1127" "Schisandra elongata" 0.125 0 0 0 "core"
"1128" "Schismatoglottis calyptrata" 0.25 0 0 0 "core"
"1129" "Schizaea dichotoma" 0 0.125 0 0 "core"
"1130" "Schizaea digitata" 0.25 0 0 0 "core"
"1131" "Schizaea malaccana" 0.25 0.125 0 0 "core"
"1132" "Schizostachyum brachycladum" 0 0.125 0 0 "core"
"1133" "Scindapsus hederaceus" 0.625 0.125 0 0 "core"
"1134" "Scindapsus sp. 05" 0.125 0 0 0 "core"
"1135" "Scleria ciliaris" 0.25 1 0.625 0.875 "general"
"1136" "Scleria sumatrensis" 0 0 0.25 0.375 "core"
"1137" "Scolopia spinosa" 0.125 0.25 0 0 "core"
"1138" "Scoparia dulcis" 0 0 0.125 0 "core"
"1139" "Scopellaria marginata" 0.125 0 0 0 "core"
"1140" "Seedling 04" 0.125 0 0 0 "core"
"1141" "Seedling 08" 0.125 0 0 0 "core"
"1142" "Seedling 16" 0 0.125 0 0 "core"
"1143" "Seedling 17" 0 0.125 0 0 "core"
"1144" "Seedling 19" 0.125 0 0 0 "core"
"1145" "Seedling 21" 0.125 0 0 0 "core"
"1146" "Seedling 22" 0.125 0 0 0 "core"
"1147" "Seedling 23" 0.125 0 0 0 "core"
"1148" "Seedling 24" 0.125 0 0 0 "core"
"1149" "Seedling 25" 0.125 0 0 0 "core"
"1150" "Seedling 27" 0 0 0 0.125 "core"
"1151" "Seedling 28" 0 0.125 0 0 "core"
"1152" "Seedling 29" 0 0.125 0 0 "core"
"1153" "Seedling 32" 0.125 0 0 0 "core"
"1154" "Seedling 33" 0.125 0 0 0 "core"
"1155" "Seedling 36" 0.125 0 0 0 "core"
"1156" "Seedling 39" 0.125 0 0 0 "core"
"1157" "Selaginella frondosa" 0.25 0 0 0 "core"
"1158" "Selaginella intermedia" 0.375 0 0.375 0.125 "core"
"1159" "Selaginella plana" 0 0.25 0 0 "core"
"1160" "Selaginella sp. 04" 0 0.125 0 0 "core"
"1161" "Selaginella sp. 06" 0.125 0 0 0 "core"
"1162" "Semecarpus caesia" 0.125 0.25 0 0 "core"
"1163" "Semecarpus heterophylla" 0 0.125 0 0 "core"
"1164" "Semecarpus sp. 01" 0.125 0 0 0 "core"
"1165" "Setaria sp. 01" 0 0 0.125 0.125 "core"
"1166" "Shorea acuminata" 0.75 0 0 0 "core"
"1167" "Shorea bracteata" 0.375 0 0 0 "core"
"1168" "Shorea bracteolata" 0.25 0 0 0 "core"
"1169" "Shorea ovalis" 0.625 0.125 0 0 "core"
"1170" "Shorea parvifolia" 0.875 0 0 0 "core"
"1171" "Shorea pauciflora" 0.125 0 0 0 "core"
"1172" "Shorea singkawang" 0.25 0 0 0 "core"
"1173" "Sida rhombifolia" 0 0 0.125 0 "core"
"1174" "Sindora coriacea" 0.25 0 0 0 "core"
"1175" "Sindora leiocarpa" 0.375 0 0 0 "core"
"1176" "Sindora wallichii" 0.375 0 0 0 "core"
"1177" "Smilax calophylla" 0.625 0.125 0 0 "core"
"1178" "Smilax cf. lanceifolia" 0 0.125 0 0 "core"
"1179" "Smilax cf. zeylanica" 0 0.125 0 0 "core"
"1180" "Smilax setosa" 0.125 0.125 0 0 "core"
"1181" "Smilax sp. 09" 0 0.125 0 0 "core"
"1182" "Solanum jamaicense" 0 0 0.375 0.125 "core"
"1183" "Sonerila heterostema" 0 0 0.125 0 "core"
"1184" "Spatholobus ferrugineus" 0.5 0.875 0.125 0.125 "general"
"1185" "Spatholobus gyrocarpus" 0.375 0.625 0 0.125 "core"
"1186" "Spatholobus littoralis" 0.25 0.375 0.125 0 "core"
"1187" "Spatholobus macropterus" 0.625 0.125 0 0 "core"
"1188" "Spermacocealata" 0 0.125 1 0.5 "core"
"1189" "Spermacoce cristata" 0.125 0.125 0.25 0.125 "general"
"1190" "Spermacoce exilis" 0 0 0.875 0.125 "core"
"1191" "Spermacoce laevis" 0 0 0.375 0.25 "core"
"1192" "Spermacoce ocymifolia" 0 0 0.125 0 "core"
"1193" "Spermacoce ocymoides" 0 0 0.125 0 "core"
"1194" "Sphaerostephanos sp. 01" 0 0 0 0.125 "core"
"1195" "Stachytarpheta indica" 0 0 0.875 0.375 "core"
"1196" "Staurogyne elongata" 0 0.125 0 0 "core"
"1197" "Staurogyne setigera" 0 0.125 0.125 0.125 "core"
"1198" "Stemona javanica" 0.125 0 0 0.125 "core"
"1199" "Stemonurus secundiflorus" 0.25 0 0 0 "core"
"1200" "Stenochlaena palustris" 0.125 0.75 0.5 0.375 "general"
"1201" "Stephania corymbosa" 0.125 0.125 0 0.125 "core"
"1202" "Sterculia cf. cordata" 0.125 0 0 0 "core"
"1203" "Sterculia coccinea" 0.25 0 0 0 "core"
"1204" "Sterculia lanceolata" 0.75 0.5 0 0 "core"
"1205" "Sterculia macrophylla" 0.25 0 0 0 "core"
"1206" "Sterculia megistophylla" 0.25 0 0 0 "core"
"1207" "Sterculia oblongata" 0.125 0 0 0 "core"
"1208" "Sterculia parvifolia" 0.125 0 0 0 "core"
"1209" "Sterculia rubiginosa" 0.25 0.125 0 0 "core"
"1210" "Streblosa polyantha" 0.125 0 0 0 "core"
"1211" "Streblosa tortilis" 0.125 0 0 0 "core"
"1212" "Streblus asper" 0.125 0 0 0 "core"
"1213" "Strebluselongatus" 0 0.25 0 0 "core"
"1214" "Strombosia ceylanica" 0.75 0 0 0 "core"
"1215" "Strychnos ignatii" 0.625 0 0 0 "core"
"1216" "Styrax benzoin" 0 0.25 0 0 "core"
"1217" "Styrax paralleloneuron" 0.125 0.125 0 0 "core"
"1218" "Suregada cf. glomerulata" 0 0.125 0 0 "core"
"1219" "Suregada cf. multiflora" 0 0.125 0 0 "core"
"1220" "Symplocos cochinchinensis" 0 0 0 0.25 "core"
"1221" "Symplocos fasciculata" 0 0.375 0.125 0 "core"
"1222" "Symplocos ophirensis" 0 0 0.125 0.125 "core"
"1223" "Symplocos sp. 09" 0 0 0 0.125 "core"
"1224" "Synedrella nodiflora" 0 0 0.125 0.125 "core"
"1225" "Syzygium acuminatissimum" 0.625 0.5 0 0.125 "core"
"1226" "Syzygium aemulum" 0 0.125 0 0 "core"
"1227" "Syzygium cf. borneense" 0.125 0.25 0 0 "core"
"1228" "Syzygium cf. confertum" 0.125 0 0 0 "core"
"1229" "Syzygium chloranthum" 0.375 0.25 0 0 "core"
"1230" "Syzygium claviflorum" 0 0.125 0 0.125 "core"
"1231" "Syzygium creaghii" 0.125 0.25 0 0 "core"
"1232" "Syzygium euneuron" 0.5 0 0 0 "core"
"1233" "Syzygium fastigiatum" 0.125 0 0 0 "core"
"1234" "Syzygium filiforme" 0 0.125 0 0 "core"
"1235" "Syzygium glabratum" 0.5 0 0 0 "core"
"1236" "Syzygiumhemsleyanum" 0 0 0.125 0 "core"
"1237" "Syzygium hirtum" 0.25 0 0 0 "core"
"1238" "Syzygium laxiflorum" 0.125 0 0 0 "core"
"1239" "Syzygium leptostemon" 0 0 0.125 0.125 "core"
"1240" "Syzygium lineatum" 0.375 0.25 0 0 "core"
"1241" "Syzygium maingayi" 0.125 0.125 0 0 "core"
"1242" "Syzygium palembanicum" 0.375 0.5 0 0.375 "core"
"1243" "Syzygium paludosum" 0.125 0 0 0 "core"
"1244" "Syzygium polyanthum" 0.375 0 0 0 "core"
"1245" "Syzygium pseudoformosum" 0.125 0 0 0 "core"
"1246" "Syzygium racemosum" 0.125 0 0.125 0 "core"
"1247" "Syzygium rostratum" 0.125 0 0 0 "core"
"1248" "Syzygium sp. 02" 0.125 0.125 0 0 "core"
"1249" "Syzygium sp. 03" 0.125 0 0 0 "core"
"1250" "Syzygium sp. 06" 0.125 0 0 0 "core"
"1251" "Syzygium sp. 07" 0.125 0 0 0 "core"
"1252" "Syzygium sp. 08" 0.125 0 0 0 "core"
"1253" "Syzygium sp. 09" 0.125 0 0 0 "core"
"1254" "Syzygium sp. 10" 0.125 0 0 0 "core"
"1255" "Syzygium sp. 11" 0.125 0 0 0 "core"
"1256" "Syzygium sp. 13" 0.125 0 0 0 "core"
"1257" "Syzygium sp. 18" 0 0.125 0 0 "core"
"1258" "Syzygium sp. 21" 0 0.125 0 0 "core"
"1259" "Syzygium sp. 22" 0 0.125 0 0 "core"
"1260" "Syzygium sp. 23" 0 0.125 0 0 "core"
"1261" "Syzygium sp. 24" 0 0.125 0 0 "core"
"1262" "Syzygium sp. 25" 0 0.25 0 0 "core"
"1263" "Syzygium sp. 26" 0 0.125 0 0 "core"
"1264" "Syzygium sp. 27" 0.125 0 0 0 "core"
"1265" "Syzygium sp. 28" 0 0.125 0 0 "core"
"1266" "Syzygium sp. 33" 0.125 0 0 0 "core"
"1267" "Syzygium sp. 34" 0 0.125 0 0 "core"
"1268" "Syzygium sp. 35" 0 0.125 0 0 "core"
"1269" "Syzygium splendens" 0.5 0 0 0 "core"
"1270" "Syzygium tetrapterum" 0.75 0.125 0 0 "core"
"1271" "Tabernaemontana macrocarpa" 0.25 0.125 0 0 "core"
"1272" "Tabernaemontana pandacaqui" 0.125 0 0 0 "core"
"1273" "Tabernaemontana pauciflora" 0.5 0.625 0.125 0.375 "general"
"1274" "Tacca bibracteata" 0.25 0.125 0 0 "core"
"1275" "Taeniochlaena acutipetala" 0 0.125 0 0 "core"
"1276" "Taenitis blechnoides" 0.625 1 0.875 0.5 "general"
"1277" "Tarenna mollis" 0.125 0 0 0 "core"
"1278" "Tarlmounia elliptica" 0.125 0.25 0 0 "core"
"1279" "Tectaria barberi" 0.125 0 0 0.125 "core"
"1280" "Tectaria sp. 01" 0.125 0 0 0 "core"
"1281" "Teijsmanniodendron coriaceum" 0.5 0 0 0 "core"
"1282" "Telosma accedens" 0.125 0 0 0 "core"
"1283" "Teratophyllum cf. ludens" 0.125 0 0 0 "core"
"1284" "Terminalia bellirica" 0.125 0 0 0 "core"
"1285" "Terminalia foetidissima" 0.125 0.125 0 0 "core"
"1286" "Terminalia oblonga" 0.125 0 0 0 "core"
"1287" "Terminalia sp. 03" 0.125 0 0 0 "core"
"1288" "Terminalia subspathulata" 0 0.125 0 0 "core"
"1289" "Tetracera akara" 0.375 0.375 0 0 "core"
"1290" "Tetracera indica" 0.375 0.625 0 0.125 "core"
"1291" "Tetracera scandens" 0.875 0.625 0 0 "core"
"1292" "Tetractomia tetrandra" 0.5 0.125 0 0 "core"
"1293" "Tetrameles nudiflora" 0.125 0 0 0 "core"
"1294" "Tetrastigma papillosum" 0 0.25 0 0 "core"
"1295" "Thottea cf. tricornis" 0 0.25 0 0 "core"
"1296" "Timonius cf. esherianus" 0.125 0 0 0 "core"
"1297" "Timonius flavescens" 0.25 0.75 0.125 0.25 "general"
"1298" "Timonius wallichianus" 0.125 0.5 0 0.125 "core"
"1299" "Tinomiscium petiolare" 0.25 0.625 0 0.125 "core"
"1300" "Tinospora glabra" 0.125 0 0 0 "core"
"1301" "Torenia violacea" 0 0 0.375 0.125 "core"
"1302" "Toxocarpus villosus" 0.125 0 0 0 "core"
"1303" "Tree 63" 0.125 0 0 0 "core"
"1304" "Tree 64" 0.125 0 0 0 "core"
"1305" "Tree 66" 0.125 0 0 0 "core"
"1306" "Tree 68" 0.125 0 0 0 "core"
"1307" "Tree 69" 0.125 0 0 0 "core"
"1308" "Tree 70" 0.125 0 0 0 "core"
"1309" "Tree 71" 0.125 0 0 0 "core"
"1310" "Tree 72" 0.125 0 0 0 "core"
"1311" "Tree 73" 0.125 0 0 0 "core"
"1312" "Tree 80" 0 0.125 0 0 "core"
"1313" "Trema orientalis" 0 0 0 0.125 "core"
"1314" "Trema tomentosa" 0 0.125 0.375 0.375 "core"
"1315" "Trevesia burckii" 0.125 0 0 0 "core"
"1316" "Trichospermum kurzii" 0 0 0.125 0 "core"
"1317" "Trigoniastrum hypoleucum" 0.125 0.125 0 0 "core"
"1318" "Trigonopleura malayana" 0.25 0 0 0 "core"
"1319" "Triomma malaccensis" 0.125 0 0 0 "core"
"1320" "Tristaniopsis sp. 01" 0.125 0 0 0 "core"
"1321" "Trivalvaria macrophylla" 0.125 0.125 0 0.125 "core"
"1322" "Turpinia cf. brachypetala" 0 0.125 0 0 "core"
"1323" "Tylophora cissoides" 0.125 0 0 0 "core"
"1324" "Uncaria acida" 0 0.125 0 0 "core"
"1325" "Uncaria elliptica" 0.25 0 0 0.125 "core"
"1326" "Uncaria gambir" 0.125 0.5 0.125 0.125 "general"
"1327" "Uncaria lanosa" 0 0 0.5 0.375 "core"
"1328" "Uncaria sp. 08" 0.125 0 0 0 "core"
"1329" "Urceola cf. brachysepala" 0 0.125 0 0 "core"
"1330" "Urceola sp. 01" 0.125 0 0 0 "core"
"1331" "Urceola sp. 02" 0 0.125 0 0 "core"
"1332" "Urceola sp. 03" 0 0.125 0 0 "core"
"1333" "Urena lobata" 0 0.125 0.125 0.625 "core"
"1334" "Urochloa sp. 01" 0 0 0.125 0 "core"
"1335" "Urophyllum arboreum" 0 0 0.25 0 "core"
"1336" "Urophyllum corymbosum" 0.375 0 0.125 0 "core"
"1337" "Urophyllum sp. 11" 0.125 0 0 0 "core"
"1338" "Urophyllum trifurcum" 0.125 0.125 0 0 "core"
"1339" "Uvaria cuneifolia" 0 0.125 0 0 "core"
"1340" "Uvaria excelsa" 0.125 0.5 0 0 "core"
"1341" "Uvaria grandiflora" 0 0.125 0 0 "core"
"1342" "Uvaria hirsuta" 0.5 0.5 0 0 "core"
"1343" "Uvaria littoralis" 0.125 0 0 0 "core"
"1344" "Uvaria lobbiana" 0.25 0.25 0 0 "core"
"1345" "Uvaria sp. 01" 0.375 0.375 0 0.125 "core"
"1346" "Ventilago malaccensis" 0.5 0.5 0.125 0.125 "general"
"1347" "Ventilago oblongifolia" 0.25 0 0 0 "core"
