rownr,name,prob_forest,prob_jungle,prob_oilpalm,prob_rubber
323,Claoxylon longifolium,0.048789288,0,0,0
324,Clausena excavata,0.112293919,0.244866057,0,0
325,Cleistanthus megacarpus,0.042128219,0,0,0
326,Cleome rutidosperma,0,0,0.124998725,0
327,Clerodendrum adenophysum ,0,0,0,0.006263422
328,Clerodendrum deflexum,0.233317264,0.527627865,0.034013691,0.056041928
329,Clerodendrum disparifolium,0,0.125,0,0
330,Clerodendrum laevifolium,0.623732892,0.249345777,0,0.051242835
331,Clerodendrum sp. 04,0,0.125,0,0
332,Clerodendrum sp. 09,0.167110254,0,0,0
333,Clerodendrum sp. 10,0,0,0,0.046325694
334,Clerodendrum villosum,0,0.125,0,0
335,Clibadium surinamense,0,0.125,0.149141799,0.1407247
336,Clidemia hirta,0.249121085,1,0.999998468,0.874511395
337,Climber 04,0.109916908,0,0,0
338,Climber 06,0,0.124981583,0,0
339,Climber 22,0,0.0686853,0,0
340,Climber 27,0,0.118963534,0.085250913,0.133173283
341,Climber 43,0.103556841,0,0,0
342,Climber 45,0.103556841,0,0,0
343,Climber 47,0.103556841,0,0,0
344,Climber 49,0.066227688,0,0,0
345,Clonostylis forbesii ,0.125,0,0,0
346,Cnestis palala,0.330497629,0,0,0
347,Coccinia sp. 01,0,0,0,0.008603741
348,Codonoboea hispida,0.097760742,0,0,0
349,Colysis sp. 01,0.12110259,0,0,0
350,Combretum latifolium,0.048789288,0,0,0
351,Combretum nigrescens,0.362680936,0.302094959,0,0
352,Combretum tetralophum,0,0,0,0.061137514
353,Commelina diffusa,0,0,0.095005639,0
354,Connarus semidecandrus,0.103556841,0.178063196,0,0
355,Connarus villosus,0.042128219,0,0,0
356,Coptosapelta flavescens,0.115133724,0,0,0.066987399
357,Corymborkis veratrifolia,0.097760742,0,0,0
358,Coscinium fenestratum,0.228556841,0,0,0
359,Crassocephalum crepidioides,0,0,0.10464231,0
360,Cratoxylum cochinchinense,0.239508916,0.124692861,0,0
361,Cratoxylum formosum,0,0.1119947,0.017520612,0.037755146
362,Cratoxylum sumatranum,0,0.483452127,0.076326995,0.160963168
363,Croton argyratus,0.595043546,0.277521917,0,0.004981497
364,Croton cascarilloides,0.066633815,0.238587349,0,0
365,Croton caudatus,0,0.125,0,0
366,Croton hirtus,0,0,0.765255488,0.131175479
367,Croton oblongus,0.191224657,0.125,0,0
368,Cryptocarya costata,0.048789288,0,0,0
369,Cryptocarya crassinervia,0.339852202,0,0,0
370,Cryptocarya densiflora,0.223105954,0,0,0
371,Cryptocarya ferrea,0.437019223,0,0,0
372,Cryptocarya pulchrinervia,0.446229616,0,0,0
373,Ctenolophon parvifolius,0.097380085,0,0,0
374,Cucurbitaceae sp. 04,0,0.043309399,0,0
375,Cyanthillium cinereum,0,0,0.151307845,0.008603741
376,Cyathocalyx sumatranus,0.12110259,0,0,0
377,Cyclea laxiflora,0,0,0,0.01202336
378,Cyclosorus heterocarpus,0,0.224642055,0,0
379,Cyclosorus megaphyllus,0.232749117,0,0,0
380,Cynanchum sp. 01,0,0.247805448,0.024300261,0.005848355
381,Cynanchum sp. 02,0,0.099642055,0,0.125
382,Cyperus diffusus,0,0,0.099903749,0
383,Cyperus haspan,0,0,0.10401087,0.016617257
384,Cyrtandra cf. reticosa,0.066633815,0,0,0
385,Cyrtandra pendula,0.123714264,0,0,0
386,Cyrtococcum oxyphyllum,0,0.125,0.266239599,0.291606416
387,Cyrtococcum patens,0,0.491250783,0.82511015,0.629660609
388,Dacryodes costata,0.214855286,0,0,0
389,Dacryodes laxa,0.282843599,0,0,0
390,Dacryodes rostrata,0.323211194,0.1936853,0,0
391,Dacryodes rugosa,0.590674574,0.07944205,0,0
392,Daemonorops hirsuta,0.369561043,0,0,0
393,Daemonorops micracantha,0.097760742,0,0,0
394,Daemonorops palembanica,0.211188915,0,0,0
395,Daemonorops sp. 01,0.222379576,0,0,0
396,Daemonorops sp. 02,0.103556841,0,0,0
397,Dalbergia junghuhnii,0,0.125,0.016674763,0.01202336
398,Dalbergia rostrata,0.158706196,0.099642055,0,0
399,Dalbergia stipulacea,0.572615224,0,0,0
400,Dasymaschalon dasymaschalum,0.042128219,0,0,0
401,Davallia denticulata,0,0.288405421,0.678978597,0.074210574
402,Davallia triphylla,0.066227688,0,0.124460058,0
403,Decaspermum cf. parviflorum,0,0,0,0.052124887
404,Dehaasia cf. membranacea,0,0.108061889,0,0
405,Dehaasia firma,0.115133724,0,0,0
406,Dehaasia incrassata,0.176144596,0.043309399,0,0
407,Dendrocnide sinuata,0.249465229,0,0,0
408,Dendrocnide stimulans,0,0.043309399,0,0
409,Dendrophthoe cf. pentandra,0.066227688,0,0,0
410,Derris amoena,0.238793175,0.124646803,0.031126224,0
411,Derris sp. 01,0,0,0,0.125
412,Dialium indum,0.131983506,0.072848046,0,0
413,Dialium platysepalum,0.108355908,0.124692861,0,0
414,Dianella ensifolia,0,0,0.215474947,0.023939808
415,Dichapetalum cf. rugosum ,0,0,0,0.006263422
416,Dichapetalum gelonioides,0.115423103,0.096679734,0.018353623,0.004981497
417,Dichapetalum sordidum,0.103556841,0,0,0
418,Dichapetalum timoriense,0.078544962,0.124999952,0.063911675,0
419,Dicoelia sumatrana,0.048789288,0.374989559,0,0
420,Dicranopteris linearis,0.066227688,0.875,0.71841336,0.393774343
421,Dictyoneura acuminata,0.176550723,0.07944205,0,0
422,Dillenia excelsa,0,0.053370335,0,0
423,Dillenia eximia,0.145685061,0.345338547,0,0
424,Dillenia indica,0.103556841,0,0,0
425,Dimocarpus longan,0,0.1119947,0,0
426,Diodella sarmentosa,0,0,0,0.206890521
427,Dioscorea bulbifera,0.097760742,0.083963372,0,0.037506436
428,Dioscorea cf. orbiculata,0.301714458,0.312648786,0.156126224,0.005848355
429,Dioscorea hispida,0,0,0.047594923,0
430,Dioscorea pyrifolia,0,0.499534012,0,0.005848355
431,Dioscorea salicifolia,0,0.233409659,0,0.023939808
432,Dioscorea sp. 07,0,0.072848046,0,0
433,Diospyros borneensis,0.278456205,0.125,0,0
434,Diospyros britannoborneensis,0.173622722,0.108061889,0,0
435,Diospyros coriacea,0.200616816,0,0,0
436,Diospyros daemona,0.103556841,0,0,0
437,Diospyros dictyoneura,0.103556841,0,0,0
438,Diospyros discocalyx,0.121333629,0,0,0
439,Diospyros frutescens,0.048789288,0.071620558,0,0
440,Diospyros javanica,0.156082975,0,0,0
441,Diospyros korthalsiana,0.178521607,0.125,0,0
442,Diospyros lanceifolia,0.339855286,0.197842569,0,0
443,Diospyros sp. 16,0.070065881,0,0,0
444,Diospyros sp. 17,0.089855286,0,0,0
445,Diospyros sumatrana,0.170190657,0,0,0
446,Diospyros truncata,0,0.124646803,0,0
447,Diospyros venosa,0.269288406,0.118313124,0,0
448,Diplazium cordifolium,0.114491343,0,0,0
449,Diplazium sp. 01,0.066633815,0,0,0
450,Diploclisia glaucescens,0,0,0,0.125
451,Dipterocarpaceae sp. 15,0.078544962,0.0686853,0,0
452,Dischidia lanceolata,0.097380085,0,0,0
453,Dischidia punctata,0.097380085,0,0,0
454,Discospermum abnorme,0.52511778,0.124646803,0,0
455,Dissochaeta affinis,0,0.053370335,0,0
456,Dissochaeta gracilis,0.123189593,0.350969092,0.283977875,0.037568899
457,Dissochaeta sp. 01,0,0.215124871,0,0
458,Dissochaeta sp. 02,0,0.118313124,0,0
459,Donax canniformis,0,0.071620558,0,0
460,Dracaena elliptica,0.350243094,0.373957276,0.11363323,0.031620138
461,Dracaena sp. 05,0,0.072848046,0,0
462,Dracaena sp. 07,0.122234409,0,0,0
463,Dracontomelon dao,0.271443906,0,0,0
464,Drepananthus biovulatus,0.078544962,0.108061889,0,0
465,Drepananthus carinatus,0.042128219,0.195562394,0.125,0
